Building Name,Building Code,Latitude,Longitude,Articulation
Westridge Elementary,CO-1420-9490,39.61343048,-105.1180498,Dakota Ridge
Allendale Elementary,CO-1420-0148,39.80485172,-105.1182744,NoArticulationArea
Edgewater Elementary,CO-1420-2496,39.75053886,-105.057487,Jefferson
Elk Creek Elementary,CO-1420-2616,39.47280646,-105.3729216,Conifer
Everitt Middle School,CO-1420-2820,39.7705204,-105.1069726,Wheat Ridge
Ken Caryl Middle School,CO-1420-4548,39.58159387,-105.0697015,Columbine
Lawrence Elementary,CO-1420-5024,39.79860281,-105.0857941,Arvada
Peiffer Elementary,CO-1420-6844,39.62736231,-105.1144364,NoArticulationArea
Blue Heron Elementary,CO-1420-0951,39.61313363,-105.0623881,Dakota Ridge
Mortensen Elementary,CO-1420-6133,39.57172386,-105.1075461,Chatfield
Mount Carbon Elementary,CO-1420-6135,39.61407271,-105.1420583,Dakota Ridge
Pomona Junior/Senior High School,CO-1420-7114,39.84937961,-105.08841,Pomona
Sobesky Academy,CO-1420-8036,39.77293531,-105.0752281,Wheat Ridge
Devinny Elementary,CO-1420-2194,39.68593812,-105.1395865,Green Mountain
Emory Elementary,CO-1420-8248,39.69482309,-105.0788005,NoArticulationArea
Mitchell Elementary,CO-1420-5944,39.76189612,-105.2319235,Golden
Warren Tech,CO-1420-9234,39.71552048,-105.1494404,Golden
Parmalee Elementary,CO-1420-6804,39.6381662,-105.2698984,Evergreen
Rooney Ranch Elementary,CO-1420-7483,39.67733149,-105.1516173,Green Mountain
Bell Middle School,CO-1420-0694,39.73365896,-105.1951917,Golden
Bradford K8 South,CO-1420-0950,39.5703068,-105.1615425,Chatfield
Carmody Middle School,CO-1420-1318,39.67959322,-105.1087645,Bear Creek
Columbine High School,CO-1420-1864,39.60395539,-105.0740266,Columbine
Lumberg Elementary,CO-1420-5354,39.74984798,-105.0711283,Jefferson
Moore Middle School,CO-1420-6090,39.85700529,-105.0892819,NoArticulationArea
Free Horizon Montessori PK-8,CO-1420-3201,39.73212433,-105.1782009,Golden
North Arvada Middle School,CO-1420-6330,39.82832892,-105.073525,Arvada
Arvada High School,CO-1420-0370,39.81577358,-105.0847258,Arvada
Conifer High School,CO-1420-1886,39.52793464,-105.3171454,Conifer
Green Mountain High School,CO-1420-3628,39.69331886,-105.1450751,Green Mountain
Ryan Elementary,CO-1420-7529,39.90533128,-105.0612379,Standley Lake
Shaffer Elementary,CO-1420-7780,39.57187779,-105.1136448,Chatfield
West Jefferson Elementary,CO-1420-9424,39.53948114,-105.3035229,Conifer
Creighton Middle,CO-1420-1976,39.71719546,-105.1069776,Lakewood
Deer Creek Middle School,CO-1420-2130,39.58676205,-105.1019624,Chatfield
Drake Middle School,CO-1420-2288,39.79015505,-105.1411165,Arvada West
Lakewood High School,CO-1420-4942,39.728197,-105.1067021,Lakewood
Summit Ridge Middle School,CO-1420-8381,39.60360614,-105.1312856,Dakota Ridge
Wilmot Elementary,CO-1420-9648,39.62074882,-105.337546,Evergreen
Bergen Elementary School,CO-1420-0779,39.69223438,-105.3497363,Evergreen
Connections Learning Center,CO-1420-4798,39.7362501,-105.199175,Golden
Golden High School,CO-1420-3502,39.7435682,-105.2113191,Golden
Jefferson Junior/Senior High School,CO-1420-4422,39.75039051,-105.0732243,Jefferson
Lukas Elementary,CO-1420-5350,39.8732211,-105.1023831,Standley Lake
Mandalay Middle School,CO-1420-5454,39.87195767,-105.0739045,Standley Lake
Jefferson County Open Elementary School,CO-1420-6539,39.73355265,-105.0836561,Lakewood
Jefferson County Open Secondary,CO-1420-6541,39.73355265,-105.0836561,NoArticulationArea
Stevens Elementary,CO-1420-8223,39.77109232,-105.0764211,Wheat Ridge
Thomson Elementary,CO-1420-8834,39.83737014,-105.0615042,NoArticulationArea
