JeffCoFacilityID,UniqueID,SchoolName,SystemCategory,AssetType,PriorityScore,ConditionSource,Unit,UnitValue,ReplacementCost,Location,Building,System,ID,Priority,Date of New Deficiency Created or Existing Modified,New RSMeans Deficiency Description,Deficiency (Scope Of Work),Qty,UoM,Cost with Inflation Factor
101,CO-1420-0030,Adams ES,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
931,CO-1420-1451,Addenbrooke Classical Academy,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
951,CO-1420-0491,Addenbrooke Classical Academy (PK - 8th),02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
520,CO-1420-0108,Alameda Int'l Jr-Sr HS,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
SOLD-5,CO-1420-0148,Allendale ES,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
301,CO-1420-0370,Arvada HS,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
775,CO-1420-0109,Arvada K-8,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
302,CO-1420-0378,Arvada West HS,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
303,CO-1420-0664,Bear Creek HS,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
510,CO-1420-0660,Bear Creek K-8,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
201,CO-1420-0694,Bell MS,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
SOLD-1,CO-1420-0776,Bergen Meadow ES,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
103,CO-1420-0779,Bergen Valley ES,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
104,CO-1420-0951,Blue Heron ES,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
513,CO-1420-0952,Bradford K-8 North,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
512,CO-1420-0950,Bradford K-8 South,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
304,CO-1420-0965,Brady Exploration School,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
105,CO-1420-1244,Campbell Preschool,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
202,CO-1420-1318,Carmody MS,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
305,CO-1420-1522,Chatfield HS,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
952,CO-1420-1730,Coal Creek Canyon K-8,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
,CO-1420-7701,Collegiate Academy,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
776,CO-1420-1790,Colorow ES,02.4_InformationTechnologyProjects,,,02.4 Information Technology Projects,,,,,,,,,,,,,,
