SystemCategory,Project,Unit,UnitCost,Value,ScopeAssumption,UpgradeScopeAssumption,SizeAssumptions
04_campus upgrade,Level 1 - security package - MS,Quantity,331080.75,0.65,"Existing access control system hardware upgrade, door phone upgrade at main entry, security camera system hardware upgrade, door hardware replacement at main entry, intrusion detection system hardware upgrade, and emergency lockdown wiring and associated door hardware upgrade.",,"150,000 SF"
04_campus upgrade,Level 2 - security package - ES,Quantity,1063438.09,0.5,"All Level 1 scope items. Expanded access control at secondary entries and interior zones, door hardware replacement at all secondary entries, expanded security camera coverage at new interior and exterior locations, exterior site lighting hardware upgrades at existing locations, and intrusion detection system hardware expansion (window contact and glass break sensors at all accessible windows).",,"65,000 SF"
04_campus upgrade,Level 2 - security package - HS,Quantity,1968842.59,0.5,"All Level 1 scope items. Expanded access control at secondary entries and interior zones, door hardware replacement at all secondary entries, expanded security camera coverage at new interior and exterior locations, exterior site lighting hardware upgrades at existing locations, intrusion detection system hardware expansion (window contact and glass break sensors at all accessible windows), and lockdown/lockout system with visualization.",,"250,000 SF"
04_campus upgrade,Level 2 - security package - MS,Quantity,1459083.34,0.5,"All Level 1 scope items. Expanded access control at secondary entries and interior zones, door hardware replacement at all secondary entries, expanded security camera coverage at new interior and exterior locations, exterior site lighting hardware upgrades at existing locations, and intrusion detection system hardware expansion (window contact and glass break sensors at all accessible windows).",,"150,000 SF"
04_campus upgrade,Level 3 - security package - ES,Quantity,2089413.04,0.35,"All Level 2 scope items. Security vestibule redesign, security glazing upgrades at all main level glass, exterior site lighting expansion at new locations, and concealed and brandished weapon detection system. WAP connectivity to local law enforcement for camera access included.",,"65,000 SF"
04_campus upgrade,Level 3 - security package - HS,Quantity,3421423.72,0.35,"All Level 2 scope items. Security vestibule redesign, security glazing upgrades at all main level glass, exterior site lighting expansion at new locations, concealed and brandished weapon detection system, concealed weapon detection portal at main entry, and WAP connectivity to local law enforcement for camera access.",,"250,000 SF"
04_campus upgrade,Level 3 - security package - MS,Quantity,2631528.9,0.35,"All Level 2 scope items. Security vestibule redesign, security glazing upgrades at all main level glass, exterior site lighting expansion at new locations, concealed and brandished weapon detection system, concealed weapon detection portal at main entry, and WAP connectivity to local law enforcement for camera access.",,"150,000 SF"
04_campus upgrade,New outdoor classroom,Quantity,252395,0.5,"16'x32' shade structure, picnic tables, hardscaping, minimal earthwork, drainage, electrical, and landscape repair.",,750 SF
04_campus upgrade,Parking lot expansion,SF,19.305,0.5,"New parking spaces, paving, striping, grading, and perimeter landscaping restoration. Assumes standard 9'x18' parking space with 24' drive lane. Excludes lighting and curb cuts.",,"11,665 SF (50 Spaces)"
04_campus upgrade,Playground replacement (3rd-5th grades),SF,71.5,0.5,"Removal of existing equipment and installation of new age-appropriate play structures, safety surfacing, ADA accessible pathways, and associated site work.",,"6,000 SF"
04_campus upgrade,Playground replacement (ECE grades),SF,95.81,0.5,"Removal of existing equipment and installation of new age-appropriate play structures, safety surfacing, ADA accessible pathways, and associated site work.",,"2,500 SF"
04_campus upgrade,Playground replacement (K-2nd grades),SF,85.8,0.5,"Removal of existing equipment and installation of new age-appropriate play structures, safety surfacing, ADA accessible pathways, and associated site work.",,"4,000 SF"
04_campus upgrade,Resurface asphalt,SF,4.147,0.5,"2"" mill overlay and striping. ADA features not included. Flat surface only.",,"25,000 SF"
04_campus upgrade,Resurface concrete,SF,20.735,0.5,"Removal and replacement of 4"" standard gray sidewalk. ADA features not included.",,"5,000 SF"
04_campus upgrade,Small shade structure installation (12'x12'),Quantity,35750,0.5,"Structure, foundation, and related site work. Assumes 12'x12' structure. Excludes hardscaping and landscaping.",,144 SF
05_Modernization,Level 1 - light modernization - interiors,SF,72.82275,0.65,"Demolish and replace ceilings, flooring, painting, and lighting. Partitions to remain in place. Assumes re-use of all major mechanical equipment. Excludes new furniture, structural improvements, and exterior improvements.",,"10,000 SF"
05_Modernization,Level 2 - targeted modernization - admin,SF,265.265,0.5,"New interior finishes, minimal partition reconfiguration, new lighting, and updated data cabling. Includes HVAC sheetmetal and controls reconfiguration; assumes re-use of all major mechanical equipment. Excludes new furniture, structural improvements, and exterior improvements.",,"2,500 SF"
05_Modernization,Level 2 - targeted modernization - auditorium,SF,443.3,0.5,"Scope may include a combination of interior finish updates, fixture replacements, MEP updates, ADA compliance improvements, theatrical upgrades, seating replacement, or acoustic improvements, but not all elements at once. Excludes new furniture. Assumes re-use of all major mechanical equipment. Structural and exterior improvements have not been included.",,"8,000 SF"
05_Modernization,Level 2 - targeted modernization - cafeteria,SF,210.21,0.5,"New ceilings, flooring, paint, built-in accessories, and window coverings. Includes HVAC supply and return grille replacement and sprinkler head relocation; assumes re-use of all major mechanical equipment. Excludes new furniture, structural improvements, and exterior improvements.",,"5,600 SF"
05_Modernization,Level 2 - targeted modernization - classrooms,SF,159.5165,0.5,"New ceilings, flooring, paint, built-in accessories (Div. 10), window coverings, and lighting across a minimum of six classrooms and corresponding hallways. Includes HVAC supply and return grille replacement and sprinkler head reinstallation; assumes re-use of all major mechanical equipment and existing communications and security/safety systems (Div. 27-28). Excludes new furniture, structural improvements, and exterior improvements.",,"9,000 SF"
05_Modernization,Level 2 - targeted modernization - group restrooms,SF,420.42,0.5,"Replacement of plumbing fixtures in place, new countertops, paint, toilet accessories, and lighting. Existing tile and plumbing locations to remain. Assumes re-use of all major mechanical equipment. Structural and exterior improvements have not been included.",,"1,800 SF"
05_Modernization,Level 2 - targeted modernization - gym,SF,240.24,0.5,"Scope may include a combination of flooring, acoustical wall panels, paint, gym equipment, bleacher replacement, or lighting upgrades, but not all elements at once. Excludes new furniture. Assumes re-use of all major mechanical equipment. Structural and exterior improvements have not been included.",,"7,700 SF"
05_Modernization,Level 2 - targeted modernization - gym locker rooms,SF,906.41551,0.5,"Includes replacement of plumbing fixtures, minor plumbing line adjustments, new ceilings, flooring, paint, lockers, toilet accessories, and lighting. Includes PE office upgrades. Assumes re-use of all major mechanical equipment. Structural and exterior improvements have not been included.",,"1,500 SF"
05_Modernization,Level 2 - targeted modernization - kitchen - ES,SF,826.36125,0.5,"New ceilings, flooring, paint, plumbing fixtures in place, HVAC supply and return grille replacement, sprinkler head reinstallation, lighting, and kitchen equipment. Assumes re-use of all major mechanical equipment. Structural and exterior improvements have not been included.",,"2,800 SF Kitchen and 65,000 ES"
05_Modernization,Level 2 - targeted modernization - kitchen - MS,SF,884.9465625,0.5,"New ceilings, flooring, paint, plumbing fixtures in place, HVAC supply and return grille replacement, sprinkler head reinstallation, lighting, and kitchen equipment. Assumes re-use of all major mechanical equipment. Structural and exterior improvements have not been included.",,"3,000 SF Kitchen and 150,000 MS"
05_Modernization,Level 2 - targeted modernization - kitchen - HS,SF,894.196875,0.5,"New ceilings, flooring, paint, plumbing fixtures in place, HVAC supply and return grille replacement, sprinkler head reinstallation, lighting, and kitchen equipment. Assumes re-use of all major mechanical equipment. Structural and exterior improvements have not been included.",,"3,500 SF Kitchen, 250,000 SF HS"
05_Modernization,Level 2 - targeted modernization - library / media center,SF,328.9,0.5,"New front desk millwork, ceilings, flooring, paint, HVAC supply and return grille replacement, sprinkler head reinstallation, lighting, and minor storage and office updates. Assumes re-use of all major mechanical equipment. Excludes new furniture, structural improvements, and exterior improvements.",,"2,500 SF"
05_Modernization,Level 2 - targeted modernization - main entry / vestibule,SF,378.95,0.5,"New entry counter, doors, admin glazing, flooring, paint, access control, and security cameras. Includes minimal ceiling, HVAC, sprinkler, electrical, and lighting updates. Assumes re-use of all major mechanical equipment. Excludes new furniture, structural improvements, and exterior improvements.",,950 SF
05_Modernization,Level 2 - targeted modernization - multipurpose room,SF,,0.5,Targeted modernization of the multipurpose room. Unit cost to be provided.,,
05_Modernization,Level 2 - targeted modernization - science labs (MS & HS),SF,429.9295,0.5,"Upgrades to existing science lab space including minimal reconfiguration of layout. Includes new fixtures, flooring, durable finishes, and lighting. Assumes re-use of existing plumbing, gas connections, and all major mechanical equipment. Excludes new furniture, structural improvements, and exterior improvements.",,"5,000 SF"
05_Modernization,Level 3 - heavy modernization - admin,SF,378.95,0.35,"Full demolition and reconstruction of existing space. Includes HVAC sheetmetal and controls reconfiguration; assumes re-use of all major mechanical equipment. Excludes new furniture, structural improvements, and exterior improvements.",,"2,500 SF"
05_Modernization,Level 3 - heavy modernization - auditorium,SF,886.6,0.35,"Full demolition and reconstruction of existing space. Assumes re-use of all major mechanical equipment. Excludes exterior improvements, canopies, hallways, sitework, and new furniture. Structural and exterior improvements have not been included.",,"8,000 SF"
05_Modernization,Level 3 - heavy modernization - cafeteria,SF,307.45,0.35,"Full demolition and reconstruction of existing space. Includes millwork, doors, minor storefront work, drywall, ceilings, flooring, paint, built-in accessories (Div. 10), window coverings, HVAC updates, sprinkler head relocation, lighting, AV and sound, and kitchen equipment. Assumes re-use of all major mechanical equipment. Excludes new furniture, structural improvements, and exterior improvements.",,"5,600 SF"
05_Modernization,Level 3 - heavy modernization - classrooms,SF,264.55,0.35,"Full demolition and reconstruction across a minimum of six classrooms and corresponding hallways. Assumes re-use of demising partitions, hallway hydronics, and all major mechanical equipment. Excludes new furniture, structural improvements, and exterior improvements.",,"9,000 SF"
05_Modernization,Level 3 - heavy modernization - group restrooms,SF,600.6,0.35,Full demolition and reconstruction. Plumbing lines to remain in place with minimal slab on grade removal and replacement. Assumes re-use of all major mechanical equipment. Structural and exterior improvements have not been included.,,"1,800 SF"
05_Modernization,Level 3 - heavy modernization - gym,SF,400.4,0.35,Full demolition and reconstruction of existing space. Reconstructed in same layout. Assumes re-use of main HVAC units and ductwork. Structural and exterior improvements have not been included.,,"7,700 SF"
05_Modernization,Level 3 - heavy modernization - gym locker rooms,SF,1125.982,0.35,Full demolition and reconstruction including new plumbing layout and slab on grade removal and replacement. Assumes re-use of main HVAC units; ductwork to be reconfigured. Structural and exterior improvements have not been included.,,"1,500 SF"
