JeffCoFacilityID,UniqueID,SchoolName,SystemCategory,AssetType,PriorityScore,ConditionSource,Unit,UnitValue,ReplacementCost,Location,Building,System,ID,Priority,Date of New Deficiency Created or Existing Modified,New RSMeans Deficiency Description,Deficiency (Scope Of Work),Qty,UoM,Cost with Inflation Factor
109,CO-1420-9432,Dennison ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
110,CO-1420-2194,Devinny ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
206,CO-1420-2288,Drake MS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
207,CO-1420-2300,Dunstan MS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
111,CO-1420-2322,Dutch Creek ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
112,CO-1420-2496,Edgewater ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
113,CO-1420-2550,Eiber ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
114,CO-1420-2616,Elk Creek ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
777,CO-1420-8248,Emory Elementary,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
309,CO-1420-2836,Evergreen HS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
208,CO-1420-2832,Evergreen MS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
209,CO-1420-2820,Everitt MS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
958,CO-1420-2799,Excel Academy,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
115,CO-1420-2866,Fairmount ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
210,CO-1420-2963,Falcon Bluffs MS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
